"","Compound","Matrix","n","u_ref","av_bias","sd_bias","UoB","Significance"
"206","Cyprodinil","Carrot",21,0.290957186981323,0.420952380952384,6.095650283682,6.10259030786178,"Insignificant"
"207","Cyprodinil","Onion",21,0.290957186981323,1.56063492063492,5.22423663951093,5.23233261082135,"Insignificant"
"208","Cyprodinil","Orange",21,0.290957186981323,4.60888888888889,3.84078772784573,3.85179262876735,"Insignificant"
"209","Cyprodinil","Spinach",6,0.544331053951817,2.34666666666667,0.440928313649484,0.700509867221065,"Significant"
"210","Cyprodinil","Strawberries",21,0.290957186981323,2.25142857142858,5.16592990138579,5.17411710639485,"Insignificant"
"211","delta-BHC","Apple",21,0.290957186981323,-3.54095238095238,4.22992213519839,4.23991714005089,"Insignificant"
"212","delta-BHC","Avocado",21,0.290957186981323,-7.55746031746031,7.73009658591102,7.73557039345964,"Insignificant"
"213","delta-BHC","Carrot",15,0.344265186329548,2.85866666666667,2.31664124686294,2.34208137885625,"Insignificant"
"214","delta-BHC","Onion",15,0.344265186329548,1.02488888888889,1.68274806735918,1.71760285768264,"Insignificant"
"215","delta-BHC","Orange",21,0.290957186981323,2.6368253968254,7.64497209327008,7.65050680618836,"Insignificant"
"216","delta-BHC","Spinach",14,0.356348322549899,-0.0238095238095214,7.10235820439184,7.11129216039365,"Insignificant"
"217","delta-BHC","Strawberries",20,0.298142396999972,-1.16066666666666,5.59630533926557,5.60424145975004,"Insignificant"
"218","Deltamethrin","Apple",21,0.290957186981323,0.689523809523814,4.31741927618215,4.32721218465253,"Insignificant"
"219","Deltamethrin","Avocado",21,0.290957186981323,-9.83619047619047,16.2257245099569,16.2283329999625,"Insignificant"
"220","Deltamethrin","Carrot",20,0.298142396999972,0.607333333333338,3.68119857165796,3.69325220000821,"Insignificant"
"221","Deltamethrin","Onion",21,0.290957186981323,-1.94920634920635,5.31469345878448,5.32265184334863,"Insignificant"
"222","Deltamethrin","Orange",20,0.298142396999972,-6.72933333333333,4.73388205368972,4.74326134501721,"Insignificant"
"223","Deltamethrin","Spinach",11,0.402015126103685,1.12363636363637,5.57505265636228,5.58952844905796,"Insignificant"
"224","Deltamethrin","Strawberries",21,0.290957186981323,-4.06730158730158,6.04930038370349,6.05629352136529,"Insignificant"
"225","Diazinon","Apple",21,0.290957186981323,2.02603174603175,6.10411660903685,6.11104701842292,"Insignificant"
"226","Diazinon","Avocado",20,0.298142396999972,3.188,5.90818466890392,5.91570240721761,"Insignificant"
"227","Diazinon","Carrot",21,0.290957186981323,-1.13587301587301,3.36563712059296,3.37819024215175,"Insignificant"
"228","Diazinon","Onion",21,0.290957186981323,0.536507936507941,4.57945732789262,4.58869104458401,"Insignificant"
"229","Diazinon","Orange",21,0.290957186981323,0.569523809523813,5.20886960286803,5.21698942152834,"Insignificant"
"230","Diazinon","Spinach",12,0.384900179459751,6.79333333333334,3.15190883321984,3.17532320261693,"Significant"
"231","Diazinon","Strawberries",21,0.290957186981323,-0.980952380952376,5.14166349463513,5.14988927810294,"Insignificant"
"232","Dichlorvos","Apple",21,0.290957186981323,1.18285714285715,4.0878272258709,4.09816879999195,"Insignificant"
"233","Dichlorvos","Avocado",21,0.290957186981323,-1.79936507936508,6.0930962407418,6.10003917066095,"Insignificant"
"234","Dichlorvos","Carrot",21,0.290957186981323,1.24698412698413,2.95849096383085,2.97276384324838,"Insignificant"
"235","Dichlorvos","Onion",21,0.290957186981323,1.58857142857143,2.72772525730966,2.74319907480685,"Insignificant"
