"","Compound","Matrix","n","u_ref","av_bias","sd_bias","UoB","Significance"
"184","Disulfoton Sulfone","Avocado",21,0.290957186981323,5.7879581880105,5.1503203169595,5.15853229629726,"Insignificant"
"185","Disulfoton Sulfone","Carrot",21,0.290957186981323,0.0723204579762456,4.0805499156812,4.09090988644604,"Insignificant"
"186","Disulfoton Sulfone","Onion",19,0.305887645160749,-0.287630139508881,3.81094409022452,3.82320050615701,"Insignificant"
"187","Disulfoton Sulfone","Orange",20,0.298142396999972,3.1824133567504,3.43766730430562,3.45057174740372,"Insignificant"
"188","Disulfoton Sulfone","Spinach",21,0.290957186981323,2.84665744395721,3.95225695222267,3.96295232131911,"Insignificant"
"189","Disulfoton Sulfone","Strawberry",21,0.290957186981323,-1.71764947481234,4.04402936076061,4.05448264953125,"Insignificant"
"190","Disulfoton Sulfoxide","Apple",21,0.290957186981323,0.0813267351656467,5.82883102687382,5.83608834961423,"Insignificant"
"191","Disulfoton Sulfoxide","Avocado",21,0.290957186981323,4.50659048164607,4.42141048510039,4.43097356823664,"Insignificant"
"192","Disulfoton Sulfoxide","Carrot",21,0.290957186981323,-0.149342194069248,4.28151502988345,4.29138987226445,"Insignificant"
"193","Disulfoton Sulfoxide","Onion",20,0.298142396999972,-1.2328787373986,4.75581097590262,4.76514710448741,"Insignificant"
"194","Disulfoton Sulfoxide","Orange",20,0.298142396999972,2.20788670009435,4.49859012380172,4.50845893747024,"Insignificant"
"195","Disulfoton Sulfoxide","Spinach",19,0.305887645160749,-0.233289260760951,2.52038430437763,2.5388785503082,"Insignificant"
"196","Disulfoton Sulfoxide","Strawberry",21,0.290957186981323,0.452786819507326,3.35187067394568,3.36447515959223,"Insignificant"
"197","Diuron","Apple",20,0.298142396999972,-0.601119302627488,4.6015444935163,4.61119297088064,"Insignificant"
"198","Diuron","Avocado",21,0.290957186981323,2.10683782963634,4.03060857072765,4.04109657581693,"Insignificant"
"199","Diuron","Carrot",18,0.314269680527355,0.916005605867458,3.35632646918092,3.37100768314509,"Insignificant"
"200","Diuron","Onion",20,0.298142396999972,-2.26175936199496,4.40593292579618,4.41600881288792,"Insignificant"
"201","Diuron","Orange",21,0.290957186981323,-0.593658970598409,3.73850815845252,3.74981324007905,"Insignificant"
"202","Diuron","Spinach",21,0.290957186981323,0.454461406857685,3.21123824573402,3.22439252503801,"Insignificant"
"203","Diuron","Strawberry",18,0.314269680527355,-1.16849481088214,3.18356315058907,3.19903731861436,"Insignificant"
"204","Ethoprophos","Apple",21,0.290957186981323,1.19939141866712,4.43220133283769,4.44174118330462,"Insignificant"
"205","Ethoprophos","Avocado",19,0.305887645160749,4.59576511441636,3.28437106676772,3.29858462915277,"Insignificant"
"206","Ethoprophos","Carrot",21,0.290957186981323,-0.292294753873426,4.33697947687234,4.34672831765087,"Insignificant"
"207","Ethoprophos","Onion",17,0.323380833381777,-1.99790096387747,3.98492282106051,3.99802264290831,"Insignificant"
"208","Ethoprophos","Orange",20,0.298142396999972,1.00613748313689,3.14273245166692,3.15684275054195,"Insignificant"
"209","Ethoprophos","Spinach",21,0.290957186981323,0.872028651857311,4.33753528576248,4.34728288013222,"Insignificant"
"210","Ethoprophos","Strawberry",19,0.305887645160749,-3.91151037020614,3.34902097949818,3.36296131000357,"Insignificant"
"211","Fenamiphos","Apple",20,0.298142396999972,4.35624483295382,5.14578492009138,5.15441474201764,"Insignificant"
"212","Fenamiphos","Avocado",21,0.290957186981323,3.19048409351569,7.35918261607112,7.36493210161094,"Insignificant"
"213","Fenamiphos","Carrot",21,0.290957186981323,2.92501964537682,5.57329506712458,5.58088469598605,"Insignificant"
"214","Fenamiphos","Onion",21,0.290957186981323,-0.756509915038308,5.60531535215234,5.61286168382322,"Insignificant"
"215","Fenamiphos","Orange",21,0.290957186981323,5.06182526447374,5.06832813324488,5.07667274412066,"Insignificant"
"216","Fenamiphos","Spinach",20,0.298142396999972,1.83372330099089,4.36960923365473,4.37976868609856,"Insignificant"
"217","Fenamiphos","Strawberry",19,0.305887645160749,2.70545928061416,4.34414008587539,4.35489613391312,"Insignificant"
"218","Fenamiphos Sulfone","Apple",21,0.290957186981323,-7.85278355510254,8.28234267347489,8.28745173412909,"Insignificant"
